deck_id	card_id	amount
int	int	int
101	10001	3
101	20001	3
101	30001	3
101	40001	3
101	50001	3
101	100000	4
101	100007	2
101	100013	4
101	100016	3
101	100017	3
101	110000	2
101	110001	2
101	110003	3
101	110004	2
101	110005	2
101	110006	2
101	110007	1
101	110008	2
101	110009	2
101	110010	2
101	110011	2
101	110015	1
101	110016	1
101	110018	2
101	110019	1
101	140000	2
101	140001	2
101	140002	2
101	140003	2
101	140004	2
101	140005	1
101	140006	2
101	140007	2
101	140008	2
101	140009	1
101	140010	1
101	140011	1
101	140012	1
101	140013	1
101	140021	1
101	140023	3
101	140024	3
101	150000	2
101	150001	2
101	150002	1
101	150003	1
101	150005	1
101	150006	1
101	150007	1
101	150008	1
101	150009	2
101	150010	1
101	150011	1
101	150012	2
101	150013	1
101	150015	1
101	150016	1
101	150017	1
101	150018	1
101	150025	1
101	150040	2
101	210000	2
101	210001	2
101	210002	2
101	210003	1
101	210004	1
101	240000	2
101	250000	1
101	310001	2
101	310004	2
101	340000	2
101	340001	2
101	340002	2
101	340003	2
101	340008	1
101	350000	2
101	350001	1
101	350004	1
101	410000	2
101	410001	2
101	410002	2
101	410003	1
101	410005	2
101	410006	1
101	410007	1
101	440000	2
101	440001	2
101	440002	2
101	440003	2
101	440005	2
101	450002	2
101	450000	1
101	450001	1
101	130000	2
101	130002	1
101	130003	1
101	130004	2
101	130005	2
101	130006	2
101	130007	1
101	130008	1
101	130011	2
101	130014	2
101	130016	2
101	130032	1
101	230000	2
101	230001	1
101	330000	2
101	330001	2
101	330002	2
101	330003	2
101	330004	2
101	430000	2
101	120000	2
101	120001	2
101	120002	2
101	120003	2
101	120004	1
101	120005	1
101	120006	1
101	120009	1
101	120010	1
101	220000	2
101	220001	2
101	320000	2
101	320001	1
101	320002	1
101	320003	1
101	420000	1
101	420002	2
101	420003	1
101	420004	2
101	420005	1
