deck_id	number	card_id
int	int	int
1	1	90000
1	2	90000
1	3	90005
1	4	100013
1	5	100000
1	6	100013
1	7	100000
1	8	100013
1	9	100000
1	10	100000
1	11	100013
1	12	100013
1	13	100000
1	14	100013
1	15	100013
1	16	100000
1	17	100013
1	18	100013
1	19	100013
1	20	100013
1	21	100013
1	22	100013
1	23	100013
2	1	90000
2	2	90001
2	3	90001
2	4	100000
2	5	100016
2	6	100017
2	7	100016
2	8	100017
2	9	100016
2	10	100007
2	11	100000
2	12	100000
2	13	100017
2	14	100016
2	15	100017
2	16	100016
2	17	100007
2	18	100000
2	19	100016
2	20	100017
2	21	100016
2	22	100007
2	23	100000
3	1	90000
3	2	90000
3	3	90003
3	4	140023
3	5	140023
3	6	140023
3	7	140024
3	8	140024
3	9	140024
3	10	140024
3	11	140024
3	12	340001
3	13	340001
3	14	340001
3	15	340001
3	16	340001
3	17	340001
3	18	340001
3	19	340001
3	20	340001
3	21	340001
3	22	340001
3	23	340001
3	24	340001
3	25	340001
3	26	340001
3	27	340001
3	28	340001
3	29	340001
3	30	340001
3	31	340001
3	32	340001
3	33	340001
4	1	90003
4	2	90003
4	3	90003
4	4	440003
4	5	140024
4	6	440003
4	7	140001
4	8	440000
4	9	440000
4	10	440000
4	11	440000
4	12	440000
4	13	340001
4	14	340001
4	15	340001
4	16	340001
4	17	340001
4	18	340001
5	1	10002
5	2	90005
5	3	90005
5	4	210001
5	5	210001
5	6	210000
5	7	210000
5	8	210000
5	9	210000
5	10	210000
5	11	210000
5	12	210000
5	13	210000
5	14	210000
5	15	210000
5	16	210000
5	17	210000
5	18	210000
5	19	210000
5	20	210000
5	21	210000
5	22	210000
5	23	210000
5	24	210000
5	25	210000
5	26	210000
5	27	210000
5	28	210000
5	29	210000
5	30	210000
6	1	10002
6	2	90004
6	3	90004
6	4	110001
6	5	110001
6	6	110003
6	7	110003
6	8	110003
6	9	110005
6	10	110005
6	11	110011
6	12	410005
6	13	110018
6	14	110018
6	15	210000
6	16	210000
6	17	210004
6	18	200000
6	19	210001
6	20	210001
6	21	200000
6	22	210002
6	23	210002
6	24	410003
6	25	410004
6	26	410004
6	27	310001
6	28	310001
6	29	210003
6	30	110000
6	31	110000
6	32	410007
6	33	410000
6	34	410000
6	35	410006
6	36	410001
6	37	410001
6	38	410002
6	39	410002
6	40	410005
6	41	110006
6	42	110006
6	43	110019
6	44	110008
6	45	110008
6	46	110016
6	47	110009
6	48	110009
6	49	110015
6	50	110004
6	51	110004
6	52	110011
6	53	110007
7	1	90003
7	2	90005
7	3	90005
7	4	340001
7	5	340001
7	6	340001
7	7	340001
7	8	340001
8	1	90000
8	2	90000
8	3	90000
8	4	340001
8	5	340001
8	6	340001
9	1	90003
9	2	90003
9	3	90003
9	4	340001
9	5	340001
9	6	340001
10	1	90001
10	2	90001
10	3	90001
10	4	430001
10	5	340001
10	6	340001
11	1	90000
11	2	90003
11	3	90003
11	4	440000
11	5	140004
11	6	140004
12	1	90000
12	2	90000
12	3	90000
12	4	140001
12	5	140001
12	6	140001
12	7	140001
12	8	140001
12	9	440003
12	10	440003
13	1	50002
13	2	50006
13	3	50001
13	4	150011
13	5	150013
13	6	150038
13	7	150039
13	8	150038
13	9	150039
13	10	150011
13	11	150013
13	12	150011
13	13	150013
13	14	150011
13	15	150013
13	16	150011
13	17	150013
13	18	150011
13	19	150013
13	20	150011
13	21	150013
13	22	150011
13	23	150013
13	24	150011
13	25	150013
13	26	150011
13	27	150013
13	28	150011
13	29	150013
13	30	150011
13	31	150013
13	32	150011
13	33	150013
13	34	350005
13	35	350005
13	36	350003
13	37	350003
13	38	350003
13	39	150011
13	40	150013
13	41	450002
13	42	450002
13	43	150011
13	44	150013
13	45	150011
13	46	150013
13	47	450004
13	48	450004
13	49	450002
13	50	150011
13	51	150013
13	52	150011
13	53	150011
14	1	40001
14	2	40005
14	3	40002
14	4	140000
14	5	140000
14	6	140000
14	7	140000
14	8	140001
14	9	140001
14	10	140001
14	11	140001
14	12	140002
14	13	140002
14	14	140002
14	15	140002
14	16	140023
14	17	140023
14	18	140023
14	19	140023
14	20	140024
14	21	140024
14	22	140024
14	23	140024
14	24	140008
14	25	140008
14	26	140008
14	27	140008
14	28	150009
14	29	150009
14	30	150009
14	31	150009
14	32	150010
14	33	150010
14	34	150010
14	35	150010
14	36	340000
14	37	340000
14	38	340000
14	39	340000
14	40	340001
14	41	340001
14	42	340001
14	43	350001
14	44	350001
14	45	350001
14	46	350001
14	47	440003
14	48	440003
14	49	440005
14	50	440005
14	51	440005
14	52	440005
14	53	440003
15	1	40002
15	2	10001
15	3	10004
15	4	110000
15	5	110000
15	6	110000
15	7	110000
15	8	110039
15	9	110039
15	10	110039
15	11	110039
15	12	110040
15	13	110040
15	14	110040
15	15	110040
15	16	110003
15	17	110003
15	18	110003
15	19	110003
15	20	110007
15	21	110007
15	22	110007
15	23	110000
15	24	110000
15	25	110000
15	26	110000
15	27	110000
15	28	110000
15	29	110000
15	30	110000
15	31	210000
15	32	210000
15	33	210000
15	34	210001
15	35	210001
15	36	210001
15	37	340000
15	38	340000
15	39	340000
15	40	340001
15	41	340001
15	42	340001
15	43	340010
15	44	340010
15	45	340010
15	46	340010
15	47	440003
15	48	440003
15	49	440005
15	50	440005
15	51	440005
15	52	440005
15	53	440003
16	1	90007
16	2	40003
16	3	30006
16	4	140000
16	5	140000
16	6	140000
16	7	140000
16	8	140001
16	9	140001
16	10	140001
16	11	140001
16	12	140000
16	13	140000
16	14	140000
16	15	140000
16	16	140001
16	17	140001
16	18	140001
16	19	140001
16	20	140024
16	21	140024
16	22	140024
16	23	140024
16	24	140008
16	25	140008
16	26	140008
16	27	140008
16	28	140008
16	29	140021
16	30	140021
16	31	140021
16	32	140021
16	33	230000
16	34	230000
16	35	230000
16	36	340000
16	37	340000
16	38	340000
16	39	340000
16	40	330001
16	41	330001
16	42	330001
16	43	330011
16	44	330011
16	45	340010
16	46	340010
16	47	440003
16	48	440003
16	49	440005
16	50	440005
16	51	440005
16	52	440005
16	53	440003
17	1	40002
17	2	10002
17	3	50002
17	4	140000
17	5	140000
17	6	140000
17	7	140000
17	8	140001
17	9	140001
17	10	140001
17	11	140001
17	12	110000
17	13	110000
17	14	110000
17	15	110000
17	16	110001
17	17	110001
17	18	110001
17	19	110001
17	20	110003
17	21	110003
17	22	110003
17	23	110040
17	24	110040
17	25	110040
17	26	150010
17	27	150010
17	28	150010
17	29	140021
17	30	140021
17	31	140021
17	32	150012
17	33	150012
17	34	140029
17	35	140029
17	36	340000
17	37	340000
17	38	340000
17	39	440002
17	40	210003
17	41	210003
17	42	210001
17	43	210006
17	44	210006
17	45	340010
17	46	340010
17	47	440003
17	48	440003
17	49	440003
17	50	110007
17	51	110007
17	52	440002
17	53	440002
18	1	40002
18	2	90007
18	3	10002
18	4	100003
18	5	100003
18	6	100003
18	7	110000
18	8	110000
18	9	140003
18	10	140003
18	11	140004
18	12	140004
18	13	140004
18	14	140004
18	15	140011
18	16	140011
18	17	140031
18	18	140031
18	19	140031
18	20	140026
18	21	140026
18	22	140026
18	23	140027
18	24	140027
18	25	140027
18	26	140008
18	27	140008
18	28	140008
18	29	140021
18	30	140021
18	31	140021
18	32	240000
18	33	240000
18	34	240000
18	35	240001
18	36	340000
18	37	340000
18	38	340000
18	39	340000
18	40	240001
18	41	310003
18	42	310003
18	43	310003
18	44	410004
18	45	340010
18	46	340010
18	47	440003
18	48	440003
18	49	440003
18	50	410000
18	51	410000
18	52	410000
18	53	410004
19	1	40006
19	2	40001
19	3	50001
19	4	140001
19	5	140001
19	6	140001
19	7	140002
19	8	140002
19	9	140004
19	10	140004
19	11	140004
19	12	140004
19	13	140015
19	14	140015
19	15	150012
19	16	150012
19	17	150012
19	18	140013
19	19	140013
19	20	140013
19	21	150013
19	22	150013
19	23	150013
19	24	150009
19	25	150009
19	26	140004
19	27	140004
19	28	140025
19	29	140025
19	30	150010
19	31	150010
19	32	140008
19	33	140008
19	34	250000
19	35	250000
19	36	250000
19	37	250000
19	38	350001
19	39	340000
19	40	340000
19	41	340000
19	42	350001
19	43	350001
19	44	350001
19	45	240000
19	46	240000
19	47	340001
19	48	340001
19	49	340001
19	50	340008
19	51	340008
19	52	340010
19	53	440000
19	54	440000
19	55	440000
19	56	340015
19	57	340015
19	58	440002
19	59	440002
19	60	440002
19	61	440002
19	62	440005
19	63	440005
20	1	40003
20	2	40004
20	3	40006
20	4	140001
20	5	140001
20	6	140001
20	7	140002
20	8	140002
20	9	140002
20	10	140004
20	11	140004
20	12	140015
20	13	140015
20	14	140015
20	15	140016
20	16	140016
20	17	140016
20	18	140013
20	19	140013
20	20	140013
20	21	140018
20	22	140018
20	23	140018
20	24	140019
20	25	140019
20	26	140025
20	27	140025
20	28	140025
20	29	140025
20	30	340011
20	31	340011
20	32	340011
20	33	140027
20	34	140027
20	35	140027
20	36	140027
20	37	140035
20	38	140035
20	39	340000
20	40	340000
20	41	340000
20	42	240001
20	43	240001
20	44	240000
20	45	240000
20	46	240000
20	47	340001
20	48	340001
20	49	340001
20	50	340008
20	51	340008
20	52	340010
20	53	440000
20	54	440000
20	55	440000
20	56	340015
20	57	340015
20	58	440002
20	59	440002
20	60	440002
20	61	440002
20	62	440005
20	63	440005
21	1	30002
21	2	30005
21	3	30001
21	4	130008
21	5	130008
21	6	130008
21	7	130008
21	8	130008
21	9	130008
21	10	130008
21	11	130008
21	12	130008
21	13	130008
21	14	130008
21	15	130008
21	16	130008
21	17	130008
21	18	130008
21	19	130008
21	20	130008
21	21	130008
21	22	130008
21	23	130008
21	24	130008
21	25	130008
21	26	130008
21	27	130008
21	28	130008
21	29	130008
21	30	130008
21	31	130008
21	32	130008
21	33	130008
21	34	130008
21	35	130008
21	36	130008
21	37	130008
21	38	100020
21	39	430000
21	40	430000
21	41	430000
21	42	100020
21	43	230000
21	44	230000
21	45	230000
21	46	330000
21	47	330000
21	48	330000
21	49	330000
21	50	100020
21	51	330002
21	52	330002
21	53	330002
21	54	330003
21	55	330003
21	56	330003
21	57	330003
21	58	330004
21	59	330004
21	60	330004
21	61	330004
21	62	330007
21	63	330007
22	1	30005
22	2	30006
22	3	30001
22	4	130009
22	5	130009
22	6	130009
22	7	130009
22	8	130009
22	9	130009
22	10	130009
22	11	130009
22	12	130017
22	13	130017
22	14	130017
22	15	130017
22	16	130026
22	17	130026
22	18	130026
22	19	130026
22	20	130026
22	21	130026
22	22	130026
22	23	130030
22	24	130030
22	25	130030
22	26	130030
22	27	130030
22	28	130030
22	29	130030
22	30	130036
22	31	130036
22	32	130036
22	33	130036
22	34	130008
22	35	130008
22	36	130008
22	37	130008
22	38	130008
22	39	430000
22	40	430000
22	41	430000
22	42	100020
22	43	230000
22	44	230000
22	45	230000
22	46	330000
22	47	330000
22	48	330000
22	49	330000
22	50	100020
22	51	330002
22	52	330002
22	53	330002
22	54	330003
22	55	330003
22	56	330003
22	57	330003
22	58	330004
22	59	330004
22	60	330004
22	61	330004
22	62	330007
22	63	330007
23	1	30003
23	2	30005
23	3	30004
23	4	130001
23	5	130001
23	6	130001
23	7	130001
23	8	130003
23	9	130003
23	10	130003
23	11	130008
23	12	130008
23	13	130008
23	14	130009
23	15	130009
23	16	130009
23	17	130013
23	18	130013
23	19	130014
23	20	130014
23	21	130014
23	22	130015
23	23	130015
23	24	130028
23	25	130028
23	26	130028
23	27	130028
23	28	130029
23	29	130029
23	30	130029
23	31	130029
23	32	130032
23	33	130032
23	34	130032
23	35	130032
23	36	130035
23	37	130035
23	38	130033
23	39	130033
