Id	GetWay	Group	version	qlt	item	Number	Odds
int	int	int	string	int	int	int	int
100	2	1	1	1	0	1	10000
100	2	2	1	1	0	1	9000
100	2	2	1	2	0	1	1000
100	2	3	1	1	0	1	6500
100	2	3	1	2	0	1	3500
100	2	4	1	2	0	1	7500
100	2	4	1	3	0	1	2000
100	2	4	1	4	0	1	500
101	2	1	1	1	0	1	10000
101	2	2	1	1	0	1	10000
101	2	3	1	1	0	1	10000
101	2	4	1	1	0	1	10000
101	2	5	1	2	0	1	10000
101	2	6	1	2	0	1	10000
101	2	7	1	3	0	1	8800
101	2	7	1	4	0	1	1200
102	2	1	1	1	0	1	10000
102	2	2	1	1	0	1	10000
102	2	3	1	1	0	1	10000
102	2	4	1	1	0	1	10000
102	2	5	1	2	0	1	10000
102	2	6	1	2	0	1	8000
102	2	6	1	3	0	1	2000
102	2	7	1	3	0	1	6000
102	2	7	1	4	0	1	4000
900	2	1	1	4	0	5	10000
