skill_id	skill_id2	condition	cost	last	type	fcamp	ftarget	fselect	fs_arg	farg	frepeat	fparm	nwork	ntype	ncamp	ntarget	nselect	ns_arg	narg	nrepeat
int	int	int	int	int	int	int	int	int	string	string	int	int	int	int	int	int	int	string	string	int
10001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10001	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10001	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10002	1	30	3	1	3	1	7	8	17,1	21,190000	1	0	0	0	0	0	0	0	0	0
10002	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10002	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10002	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10003	1	30	2	1	1	1	1	9	0	2,2	1	0	0	0	0	0	0	0	0	0
10003	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10003	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10003	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10004	1	30	4	1	1	1	2	9	0	2,1	1	0	0	0	0	0	0	0	0	0
10004	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10004	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10004	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10005	1	30	2	2	13	3	2	8	0	12,1,1	1	0	0	0	0	0	0	0	0	0
10005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10005	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10005	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10006	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10006	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10006	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20001	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20001	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20002	1	30	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20002	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20002	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20002	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20003	1	30	2	2	13	3	2	8	0	28,2,1	1	0	0	0	0	0	0	0	0	0
20003	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20003	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20003	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20004	1	30	2	2	13	3	2	8	0	8,1,1	1	0	0	0	0	0	0	0	0	0
20004	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20004	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20004	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20005	1	30	4	2	1	2	2	9	0	1,-2,1	1	0	0	0	0	0	0	0	0	0
20005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20005	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20005	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20006	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20006	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20006	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30001	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30001	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30002	1	30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30002	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30002	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30002	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30003	1	30	2	1	1	1	1	9	0	2,-2	1	1	1	4	1	11	9	0	40,1	1
30003	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30003	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30003	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30004	1	30	2	1	1	1	3	8	0	2,-1	1	1	1	1	1	1	9	0	2,1	1
30004	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30004	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30004	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30005	1	30	2	1	1	3	2	8	0	1,-1#2,-1	1	0	0	0	0	0	0	0	0	0
30005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30005	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30005	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30006	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30006	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30006	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40001	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40001	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
