card_id	amount
int	int
10001	3
10002	1
10003	1
10004	1
10005	1
10006	1
40001	3
40002	1
40003	1
40004	1
40005	1
40006	1
50001	3
50002	1
50003	1
50004	1
50005	1
50006	1
110000	4
110001	4
110002	4
110003	4
110004	4
110005	4
110006	4
110007	4
110008	4
110009	4
110010	4
110011	4
110012	4
110013	4
110014	4
110015	4
110016	4
110017	4
110018	4
110019	4
110020	4
110021	4
110022	4
110023	4
110024	4
110025	4
110026	4
110027	4
140000	4
140001	4
140002	4
140003	4
140004	4
140005	4
140006	4
140007	4
140008	4
140009	4
140010	4
140011	4
140012	4
140013	4
140014	4
140015	4
140016	4
140017	4
140018	4
140019	4
140020	4
140021	4
140022	4
150000	4
150001	4
150002	4
150003	4
150004	4
150005	4
150006	4
150007	4
150008	4
150009	4
150010	4
150011	4
150012	4
150013	4
150014	4
150015	4
150016	4
150017	4
150018	4
150019	4
150020	4
150021	4
150022	4
150023	4
150024	4
150025	4
150026	4
150027	4
150028	4
210000	4
210001	4
210002	4
210003	4
210004	4
210005	4
240000	4
240001	4
250000	4
250001	4
250002	4
310000	4
310001	4
310002	4
310003	4
340000	4
340001	4
340002	4
340003	4
340004	4
340005	4
340006	4
340007	4
340008	4
340009	4
350000	4
350001	4
350002	4
350003	4
350004	4
410000	4
410001	4
410002	4
410003	4
410004	4
410005	4
410006	4
410007	4
410008	4
440000	4
440001	4
440002	4
440003	4
440004	4
440005	4
450000	4
450001	4
450002	4
450003	4
450004	4
